"genus","species","scientificName"
"Akebia","quinata","Akebia quinata"
"Liquidambar","styraciflua","Liquidambar styraciflua"
"Pontederia","cordata","Pontederia cordata"
"Lobelia","siphilitica","Lobelia siphilitica"
"Saponaria","officinalis","Saponaria officinalis"
"Lamprocapnos","spectabilis","Lamprocapnos spectabilis"
"Ceratophyllum","demersum","Ceratophyllum demersum"
"Glechoma","hederacea","Glechoma hederacea"
"Hemerocallis","fulva","Hemerocallis fulva"
"Pseudognaphalium","obtusifolium","Pseudognaphalium obtusifolium"
"Syringa","vulgaris","Syringa vulgaris"
"Fagus","grandifolia","Fagus grandifolia"
"Amelanchier","laevis","Amelanchier laevis"
"Gaylussacia","baccata","Gaylussacia baccata"
"Aralia","nudicaulis","Aralia nudicaulis"
"Platanus","occidentalis","Platanus occidentalis"
"Ostrya","virginiana","Ostrya virginiana"
"Digitalis","purpurea","Digitalis purpurea"
"Ilex","opaca","Ilex opaca"
"Epigaea","repens","Epigaea repens"
"Acer","rubrum","Acer rubrum"
"Smilax","glauca","Smilax glauca"
"Trifolium","repens","Trifolium repens"
"Gaultheria","procumbens","Gaultheria procumbens"
"Monarda","didyma","Monarda didyma"
"Tilia","americana","Tilia americana"
"Rosa","rugosa","Rosa rugosa"
"Carya","alba","Carya alba"
"Aesculus","hippocastanum","Aesculus hippocastanum"
"Berberis","vulgaris","Berberis vulgaris"
"Euphorbia","maculata","Euphorbia maculata"
"Hedera","helix","Hedera helix"
"Clethra","alnifolia","Clethra alnifolia"
"Euphorbia","cyparissias","Euphorbia cyparissias"
"Lindera","benzoin","Lindera benzoin"
"Kalmia","latifolia","Kalmia latifolia"
"Populus","alba","Populus alba"
"Lactuca","serriola","Lactuca serriola"
"Rubus","occidentalis","Rubus occidentalis"
"Acer","platanoides","Acer platanoides"
"Rhodotypos","scandens","Rhodotypos scandens"
"Persicaria","longiseta","Persicaria longiseta"
"Phragmites","australis","Phragmites australis"
"Abutilon","theophrasti","Abutilon theophrasti"
"Hydrangea","arborescens","Hydrangea arborescens"
"Sedum","sarmentosum","Sedum sarmentosum"
"Prunus","cerasifera","Prunus cerasifera"
"Carex","comosa","Carex comosa"
"Symplocarpus","foetidus","Symplocarpus foetidus"
"Myrica","gale","Myrica gale"
"Decodon","verticillatus","Decodon verticillatus"
"Lespedeza","hirta","Lespedeza hirta"
"Hypericum","gentianoides","Hypericum gentianoides"
"Gaylussacia","frondosa","Gaylussacia frondosa"
"Vaccinium","macrocarpon","Vaccinium macrocarpon"
"Cabomba","caroliniana","Cabomba caroliniana"
"Osmundastrum","cinnamomeum","Osmundastrum cinnamomeum"
"Froelichia","gracilis","Froelichia gracilis"
"Potamogeton","epihydrus","Potamogeton epihydrus"
"Dioscorea","villosa","Dioscorea villosa"
"Chamaedaphne","calyculata","Chamaedaphne calyculata"
"Verbena","urticifolia","Verbena urticifolia"
"Morella","pensylvanica","Morella pensylvanica"
"Ilex","glabra","Ilex glabra"
"Trichostema","dichotomum","Trichostema dichotomum"
"Brasenia","schreberi","Brasenia schreberi"
"Lysimachia","terrestris","Lysimachia terrestris"
"Hypericum","mutilum","Hypericum mutilum"
"Lycopus","uniflorus","Lycopus uniflorus"
"Podophyllum","peltatum","Podophyllum peltatum"
"Polygonum","aviculare","Polygonum aviculare"
"Lespedeza","cuneata","Lespedeza cuneata"
"Quercus","velutina","Quercus velutina"
"Amsonia","tabernaemontana","Amsonia tabernaemontana"
"Ionactis","linariifolia","Ionactis linariifolia"
"Utricularia","macrorhiza","Utricularia macrorhiza"
"Melilotus","officinalis","Melilotus officinalis"
"Triadenum","virginicum","Triadenum virginicum"
"Drosera","intermedia","Drosera intermedia"
"Calycanthus","floridus","Calycanthus floridus"
"Nyssa","sylvatica","Nyssa sylvatica"
"Vaccinium","corymbosum","Vaccinium corymbosum"
"Celastrus","orbiculatus","Celastrus orbiculatus"
"Iris","versicolor","Iris versicolor"
"Eubotrys","racemosa","Eubotrys racemosa"
"Rhododendron","viscosum","Rhododendron viscosum"
"Lathyrus","sylvestris","Lathyrus sylvestris"
"Ampelopsis","glandulosa","Ampelopsis glandulosa"
"Hypochaeris","radicata","Hypochaeris radicata"
"Plantago","lanceolata","Plantago lanceolata"
"Rhexia","virginica","Rhexia virginica"
"Pinus","strobus","Pinus strobus"
"Oxalis","dillenii","Oxalis dillenii"
"Melilotus","albus","Melilotus albus"
"Asclepias","amplexicaulis","Asclepias amplexicaulis"
"Plantago","aristata","Plantago aristata"
"Apios","americana","Apios americana"
"Utricularia","gibba","Utricularia gibba"
"Rumex","acetosella","Rumex acetosella"
"Kummerowia","striata","Kummerowia striata"
"Centaurea","stoebe","Centaurea stoebe"
"Rubus","hispidus","Rubus hispidus"
"Solanum","tuberosum","Solanum tuberosum"
"Trifolium","arvense","Trifolium arvense"
"Desmodium","paniculatum","Desmodium paniculatum"
"Achillea","millefolium","Achillea millefolium"
"Desmodium","ciliare","Desmodium ciliare"
"Dulichium","arundinaceum","Dulichium arundinaceum"
"Hypericum","perforatum","Hypericum perforatum"
"Medicago","lupulina","Medicago lupulina"
"Lonicera","japonica","Lonicera japonica"
"Euthamia","caroliniana","Euthamia caroliniana"
"Krigia","virginica","Krigia virginica"
"Cephalanthus","occidentalis","Cephalanthus occidentalis"
"Erigeron","canadensis","Erigeron canadensis"
"Polystichum","acrostichoides","Polystichum acrostichoides"
"Papaver","somniferum","Papaver somniferum"
"Lespedeza","capitata","Lespedeza capitata"
"Hexasepalum","teres","Hexasepalum teres"
"Dryopteris","intermedia","Dryopteris intermedia"
"Goodyera","pubescens","Goodyera pubescens"
"Calystegia","sepium","Calystegia sepium"
"Verbena","bracteata","Verbena bracteata"
"Ambrosia","artemisiifolia","Ambrosia artemisiifolia"
"Catalpa","bignonioides","Catalpa bignonioides"
"Veronica","officinalis","Veronica officinalis"
"Danthonia","spicata","Danthonia spicata"
"Lysimachia","borealis","Lysimachia borealis"
"Bromus","hordeaceus","Bromus hordeaceus"
"Vaccinium","pallidum","Vaccinium pallidum"
"Dactylis","glomerata","Dactylis glomerata"
"Polygonella","articulata","Polygonella articulata"
"Potentilla","argentea","Potentilla argentea"
"Spiraea","tomentosa","Spiraea tomentosa"
"Quercus","stellata","Quercus stellata"
"Bidens","frondosa","Bidens frondosa"
"Trifolium","campestre","Trifolium campestre"
"Thelypteris","palustris","Thelypteris palustris"
"Lotus","corniculatus","Lotus corniculatus"
"Hypopitys","monotropa","Hypopitys monotropa"
"Bidens","connata","Bidens connata"
"Dendrolycopodium","obscurum","Dendrolycopodium obscurum"
"Comandra","umbellata","Comandra umbellata"
"Brassica","oleracea","Brassica oleracea"
"Vicia","hirsuta","Vicia hirsuta"
"Potentilla","recta","Potentilla recta"
"Raphanus","raphanistrum","Raphanus raphanistrum"
"Euonymus","fortunei","Euonymus fortunei"
"Solidago","rugosa","Solidago rugosa"
"Nipponanthemum","nipponicum","Nipponanthemum nipponicum"
"Tussilago","farfara","Tussilago farfara"
"Phyllanthus","urinaria","Phyllanthus urinaria"
"Borago","officinalis","Borago officinalis"
"Conoclinium","coelestinum","Conoclinium coelestinum"
"Valeriana","officinalis","Valeriana officinalis"
"Ligustrum","obtusifolium","Ligustrum obtusifolium"
"Phlox","paniculata","Phlox paniculata"
"Arisaema","triphyllum","Arisaema triphyllum"
"Lamium","galeobdolon","Lamium galeobdolon"
"Veronica","serpyllifolia","Veronica serpyllifolia"
"Daucus","carota","Daucus carota"
"Cakile","edentula","Cakile edentula"
"Ligustrum","ovalifolium","Ligustrum ovalifolium"
"Heliopsis","helianthoides","Heliopsis helianthoides"
"Pilea","pumila","Pilea pumila"
"Chamaecyparis","thyoides","Chamaecyparis thyoides"
"Galinsoga","quadriradiata","Galinsoga quadriradiata"
"Osmunda","spectabilis","Osmunda spectabilis"
"Hibiscus","moscheutos","Hibiscus moscheutos"
"Nuphar","variegata","Nuphar variegata"
"Erodium","cicutarium","Erodium cicutarium"
"Pityopsis","falcata","Pityopsis falcata"
"Solidago","nemoralis","Solidago nemoralis"
"Mikania","scandens","Mikania scandens"
"Plantago","major","Plantago major"
"Betula","populifolia","Betula populifolia"
"Baccharis","halimifolia","Baccharis halimifolia"
"Viburnum","setigerum","Viburnum setigerum"
"Hudsonia","ericoides","Hudsonia ericoides"
"Cercis","canadensis","Cercis canadensis"
"Solanum","nigrum","Solanum nigrum"
"Clematis","terniflora","Clematis terniflora"
"Cucumis","sativus","Cucumis sativus"
"Vaccinium","angustifolium","Vaccinium angustifolium"
"Rosa","palustris","Rosa palustris"
"Kalmia","angustifolia","Kalmia angustifolia"
"Poa","bulbosa","Poa bulbosa"
"Celtis","occidentalis","Celtis occidentalis"
"Linaria","vulgaris","Linaria vulgaris"
"Parthenocissus","tricuspidata","Parthenocissus tricuspidata"
"Potamogeton","crispus","Potamogeton crispus"
"Leucanthemum","vulgare","Leucanthemum vulgare"
"Ilex","crenata","Ilex crenata"
"Drosera","rotundifolia","Drosera rotundifolia"
"Anthoxanthum","odoratum","Anthoxanthum odoratum"
"Ludwigia","peploides","Ludwigia peploides"
"Ageratina","altissima","Ageratina altissima"
"Convolvulus","arvensis","Convolvulus arvensis"
"Catalpa","speciosa","Catalpa speciosa"
"Quercus","coccinea","Quercus coccinea"
"Astilbe","japonica","Astilbe japonica"
"Solidago","sempervirens","Solidago sempervirens"
"Ilex","verticillata","Ilex verticillata"
"Ricinus","communis","Ricinus communis"
"Lepidium","virginicum","Lepidium virginicum"
"Teucrium","canadense","Teucrium canadense"
"Poa","annua","Poa annua"
"Silene","latifolia","Silene latifolia"
"Sporobolus","alterniflorus","Sporobolus alterniflorus"
"Myosotis","stricta","Myosotis stricta"
"Iva","frutescens","Iva frutescens"
"Lysimachia","punctata","Lysimachia punctata"
"Taraxacum","officinale","Taraxacum officinale"
"Cirsium","discolor","Cirsium discolor"
"Centaurea","jacea","Centaurea jacea"
"Juglans","nigra","Juglans nigra"
"Opuntia","humifusa","Opuntia humifusa"
"Rudbeckia","laciniata","Rudbeckia laciniata"
"Geranium","macrorrhizum","Geranium macrorrhizum"
"Vicia","sativa","Vicia sativa"
"Carya","cordiformis","Carya cordiformis"
"Persicaria","virginiana","Persicaria virginiana"
"Solanum","lycopersicum","Solanum lycopersicum"
"Epifagus","virginiana","Epifagus virginiana"
"Erigeron","strigosus","Erigeron strigosus"
"Hudsonia","tomentosa","Hudsonia tomentosa"
"Potentilla","canadensis","Potentilla canadensis"
"Morus","alba","Morus alba"
"Trifolium","incarnatum","Trifolium incarnatum"
"Schoenoplectus","pungens","Schoenoplectus pungens"
"Actaea","racemosa","Actaea racemosa"
"Arum","italicum","Arum italicum"
"Symphytum","officinale","Symphytum officinale"
"Limonium","carolinianum","Limonium carolinianum"
"Gleditsia","triacanthos","Gleditsia triacanthos"
"Galium","aparine","Galium aparine"
"Acer","pseudoplatanus","Acer pseudoplatanus"
"Salvia","officinalis","Salvia officinalis"
"Acer","negundo","Acer negundo"
"Calamagrostis","breviligulata","Calamagrostis breviligulata"
"Xanthium","strumarium","Xanthium strumarium"
"Cosmos","bipinnatus","Cosmos bipinnatus"
"Dianthus","barbatus","Dianthus barbatus"
"Pluchea","odorata","Pluchea odorata"
"Salicornia","virginica","Salicornia virginica"
"Rhododendron","maximum","Rhododendron maximum"
"Lilium","superbum","Lilium superbum"
"Chamaecrista","fasciculata","Chamaecrista fasciculata"
"Erigeron","annuus","Erigeron annuus"
"Cichorium","intybus","Cichorium intybus"
"Carex","folliculata","Carex folliculata"
"Tetradium","daniellii","Tetradium daniellii"
"Humulus","lupulus","Humulus lupulus"
"Pieris","japonica","Pieris japonica"
"Microstegium","vimineum","Microstegium vimineum"
"Lechea","maritima","Lechea maritima"
"Malus","domestica","Malus domestica"
"Scirpus","cyperinus","Scirpus cyperinus"
"Scutellaria","lateriflora","Scutellaria lateriflora"
"Cucurbita","pepo","Cucurbita pepo"
"Lindernia","dubia","Lindernia dubia"
"Galium","odoratum","Galium odoratum"
"Agalinis","purpurea","Agalinis purpurea"
"Persicaria","sagittata","Persicaria sagittata"
"Mertensia","virginica","Mertensia virginica"
"Tridens","flavus","Tridens flavus"
"Carex","lurida","Carex lurida"
"Carex","longii","Carex longii"
"Allium","vineale","Allium vineale"
"Peltandra","virginica","Peltandra virginica"
"Quercus","montana","Quercus montana"
"Cenchrus","alopecuroides","Cenchrus alopecuroides"
"Asimina","triloba","Asimina triloba"
"Forsythia","intermedia","Forsythia intermedia"
"Celastrus","scandens","Celastrus scandens"
"Veronica","chamaedrys","Veronica chamaedrys"
"Sisyrinchium","angustifolium","Sisyrinchium angustifolium"
"Euonymus","europaeus","Euonymus europaeus"
"Aquilegia","canadensis","Aquilegia canadensis"
"Magnolia","virginiana","Magnolia virginiana"
"Osmanthus","heterophyllus","Osmanthus heterophyllus"
"Callicarpa","dichotoma","Callicarpa dichotoma"
"Tiarella","cordifolia","Tiarella cordifolia"
"Quercus","rubra","Quercus rubra"
"Eragrostis","spectabilis","Eragrostis spectabilis"
"Heracleum","maximum","Heracleum maximum"
"Holcus","lanatus","Holcus lanatus"
"Sedum","acre","Sedum acre"
"Prunus","maritima","Prunus maritima"
"Lepidium","campestre","Lepidium campestre"
"Ilex","aquifolium","Ilex aquifolium"
"Lapsana","communis","Lapsana communis"
"Ranunculus","recurvatus","Ranunculus recurvatus"
"Helianthus","annuus","Helianthus annuus"
"Lonicera","fragrantissima","Lonicera fragrantissima"
"Lythrum","salicaria","Lythrum salicaria"
"Hesperis","matronalis","Hesperis matronalis"
"Lathyrus","japonicus","Lathyrus japonicus"
"Ranunculus","bulbosus","Ranunculus bulbosus"
"Impatiens","capensis","Impatiens capensis"
"Veronica","persica","Veronica persica"
"Medeola","virginiana","Medeola virginiana"
"Pyrus","calleryana","Pyrus calleryana"
"Zizia","aurea","Zizia aurea"
"Persicaria","filiformis","Persicaria filiformis"
"Verbena","hastata","Verbena hastata"
"Parthenium","integrifolium","Parthenium integrifolium"
"Baptisia","australis","Baptisia australis"
"Lysimachia","ciliata","Lysimachia ciliata"
"Rubus","allegheniensis","Rubus allegheniensis"
"Cynoglossum","amabile","Cynoglossum amabile"
"Primula","japonica","Primula japonica"
"Persicaria","arifolia","Persicaria arifolia"
"Cosmos","sulphureus","Cosmos sulphureus"
"Alnus","serrulata","Alnus serrulata"
"Aronia","arbutifolia","Aronia arbutifolia"
"Spiraea","thunbergii","Spiraea thunbergii"
"Chionanthus","virginicus","Chionanthus virginicus"
"Iris","pseudacorus","Iris pseudacorus"
"Toxicodendron","vernix","Toxicodendron vernix"
"Eutrochium","dubium","Eutrochium dubium"
"Taxodium","distichum","Taxodium distichum"
"Geranium","maculatum","Geranium maculatum"
"Sedum","sexangulare","Sedum sexangulare"
"Verbesina","alternifolia","Verbesina alternifolia"
"Sanguisorba","canadensis","Sanguisorba canadensis"
"Euthamia","graminifolia","Euthamia graminifolia"
"Cercidiphyllum","japonicum","Cercidiphyllum japonicum"
"Eurybia","divaricata","Eurybia divaricata"
"Physocarpus","opulifolius","Physocarpus opulifolius"
"Viburnum","plicatum","Viburnum plicatum"
"Chelone","lyonii","Chelone lyonii"
"Leonurus","cardiaca","Leonurus cardiaca"
"Mimulus","ringens","Mimulus ringens"
"Baptisia","tinctoria","Baptisia tinctoria"
"Rosa","carolina","Rosa carolina"
"Origanum","vulgare","Origanum vulgare"
"Solidago","odora","Solidago odora"
"Panicum","virgatum","Panicum virgatum"
"Scleranthus","annuus","Scleranthus annuus"
"Tsuga","canadensis","Tsuga canadensis"
"Nasturtium","officinale","Nasturtium officinale"
"Symphoricarpos","orbiculatus","Symphoricarpos orbiculatus"
"Hackelia","virginiana","Hackelia virginiana"
"Lorinseria","areolata","Lorinseria areolata"
"Scilla","luciliae","Scilla luciliae"
"Phalaris","arundinacea","Phalaris arundinacea"
"Taxus","canadensis","Taxus canadensis"
"Ipomoea","hederacea","Ipomoea hederacea"
"Bidens","cernua","Bidens cernua"
"Mitchella","repens","Mitchella repens"
"Cicuta","maculata","Cicuta maculata"
"Betula","lenta","Betula lenta"
"Physostegia","virginiana","Physostegia virginiana"
"Dichanthelium","clandestinum","Dichanthelium clandestinum"
"Hemerocallis","lilioasphodelus","Hemerocallis lilioasphodelus"
"Phlox","subulata","Phlox subulata"
"Carex","stricta","Carex stricta"
"Vicia","cracca","Vicia cracca"
"Verbena","stricta","Verbena stricta"
"Viburnum","dentatum","Viburnum dentatum"
"Cardamine","impatiens","Cardamine impatiens"
"Lobelia","cardinalis","Lobelia cardinalis"
"Carex","radiata","Carex radiata"
"Allium","tuberosum","Allium tuberosum"
"Elymus","canadensis","Elymus canadensis"
"Clinopodium","vulgare","Clinopodium vulgare"
"Acer","freemanii","Acer freemanii"
"Juncus","gerardi","Juncus gerardi"
"Malva","sylvestris","Malva sylvestris"
"Myosotis","scorpioides","Myosotis scorpioides"
"Carex","intumescens","Carex intumescens"
"Anemone","quinquefolia","Anemone quinquefolia"
"Coreopsis","verticillata","Coreopsis verticillata"
"Lathyrus","latifolius","Lathyrus latifolius"
"Rubus","flagellaris","Rubus flagellaris"
"Viola","sagittata","Viola sagittata"
"Solidago","altissima","Solidago altissima"
"Cotinus","coggygria","Cotinus coggygria"
"Geranium","carolinianum","Geranium carolinianum"
"Campanula","glomerata","Campanula glomerata"
"Hibiscus","trionum","Hibiscus trionum"
"Thymus","pulegioides","Thymus pulegioides"
"Eschscholzia","californica","Eschscholzia californica"
"Verbena","bonariensis","Verbena bonariensis"
"Erythronium","americanum","Erythronium americanum"
"Celosia","argentea","Celosia argentea"
"Artemisia","absinthium","Artemisia absinthium"
"Tanacetum","vulgare","Tanacetum vulgare"
"Tradescantia","virginiana","Tradescantia virginiana"
"Cardamine","occulta","Cardamine occulta"
"Betula","pendula","Betula pendula"
"Arctium","minus","Arctium minus"
"Betula","nigra","Betula nigra"
"Schizachyrium","scoparium","Schizachyrium scoparium"
"Viola","fimbriatula","Viola fimbriatula"
"Sonchus","oleraceus","Sonchus oleraceus"
"Fragaria","virginiana","Fragaria virginiana"
"Dasiphora","fruticosa","Dasiphora fruticosa"
"Cyperus","lupulinus","Cyperus lupulinus"
"Sporobolus","pumilus","Sporobolus pumilus"
"Pinus","thunbergii","Pinus thunbergii"
"Gaillardia","pulchella","Gaillardia pulchella"
"Lysimachia","arvensis","Lysimachia arvensis"
"Populus","tremuloides","Populus tremuloides"
"Thlaspi","arvense","Thlaspi arvense"
"Viburnum","cassinoides","Viburnum cassinoides"
"Acer","saccharinum","Acer saccharinum"
"Vicia","tetrasperma","Vicia tetrasperma"
"Aegopodium","podagraria","Aegopodium podagraria"
"Pogonia","ophioglossoides","Pogonia ophioglossoides"
"Amelanchier","canadensis","Amelanchier canadensis"
"Nicotiana","sylvestris","Nicotiana sylvestris"
"Cyperus","esculentus","Cyperus esculentus"
"Aralia","elata","Aralia elata"
"Rosa","virginiana","Rosa virginiana"
"Solidago","caesia","Solidago caesia"
"Magnolia","macrophylla","Magnolia macrophylla"
"Sorghastrum","nutans","Sorghastrum nutans"
"Eleusine","indica","Eleusine indica"
"Equisetum","arvense","Equisetum arvense"
"Veronica","filiformis","Veronica filiformis"
"Tanacetum","parthenium","Tanacetum parthenium"
"Capsella","bursa-pastoris","Capsella bursa-pastoris"
"Trapa","natans","Trapa natans"
"Ambrosia","trifida","Ambrosia trifida"
"Passiflora","incarnata","Passiflora incarnata"
"Senecio","vulgaris","Senecio vulgaris"
"Dipsacus","fullonum","Dipsacus fullonum"
"Staphylea","trifolia","Staphylea trifolia"
"Stellaria","media","Stellaria media"
"Myosotis","sylvatica","Myosotis sylvatica"
"Amorpha","fruticosa","Amorpha fruticosa"
"Aralia","racemosa","Aralia racemosa"
"Oenothera","biennis","Oenothera biennis"
"Reynoutria","sachalinensis","Reynoutria sachalinensis"
"Maclura","pomifera","Maclura pomifera"
"Rhododendron","periclymenoides","Rhododendron periclymenoides"
"Vinca","major","Vinca major"
"Iris","domestica","Iris domestica"
"Viola","striata","Viola striata"
"Acalypha","rhomboidea","Acalypha rhomboidea"
"Coreopsis","lanceolata","Coreopsis lanceolata"
"Gomphrena","globosa","Gomphrena globosa"
"Scilla","siberica","Scilla siberica"
"Eleutherococcus","sieboldianus","Eleutherococcus sieboldianus"
"Maianthemum","racemosum","Maianthemum racemosum"
"Pulmonaria","officinalis","Pulmonaria officinalis"
"Polygonatum","biflorum","Polygonatum biflorum"
"Sicyos","angulatus","Sicyos angulatus"
"Anemone","blanda","Anemone blanda"
"Cymbalaria","muralis","Cymbalaria muralis"
"Veronica","arvensis","Veronica arvensis"
"Galanthus","nivalis","Galanthus nivalis"
"Rhus","typhina","Rhus typhina"
"Anthriscus","sylvestris","Anthriscus sylvestris"
"Asclepias","purpurascens","Asclepias purpurascens"
"Trifolium","dubium","Trifolium dubium"
"Draba","verna","Draba verna"
"Vernonia","noveboracensis","Vernonia noveboracensis"
"Eutrochium","purpureum","Eutrochium purpureum"
"Setaria","viridis","Setaria viridis"
"Pseudofumaria","lutea","Pseudofumaria lutea"
"Lepidium","didymum","Lepidium didymum"
